[2025-06-28 19:31:55,566] 14 root - INFO - initiate the Data Ingestion
[2025-06-28 19:32:02,626] 66 root - INFO - Performed train test split on the dataframe
[2025-06-28 19:32:02,626] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-28 19:32:02,626] 75 root - INFO - Exporting train and test file path.
[2025-06-28 19:32:02,679] 79 root - INFO - Train file saved to: Artifacts/06_28_2025_19_31_53/data_ingestion/ingested/train.csv
[2025-06-28 19:32:02,679] 80 root - INFO - Test file saved to: Artifacts/06_28_2025_19_31_53/data_ingestion/ingested/test.csv
[2025-06-28 19:32:02,679] 16 root - INFO - Data initiation completed
[2025-06-28 19:32:02,682] 20 root - INFO - Initiate the Data Validation
[2025-06-28 19:32:02,699] 38 root - INFO - Required number of columns:2
[2025-06-28 19:32:02,699] 39 root - INFO - Data frrame has columns:32
[2025-06-28 19:32:02,699] 38 root - INFO - Required number of columns:2
[2025-06-28 19:32:02,699] 39 root - INFO - Data frrame has columns:32
